# Broken Arrow Realism Overhaul - vraies stats (données v1). Fichier généré par le mod à chaque version : pour changer une valeur, utiliser les fichiers *_override.csv du dossier parent.
Option;Id;Name;GroundRange;MuzzleVelocity;MaxSpeed;BurnTime;MaxSeekerDistance;Damage;LowAltRange;PenetrationAtMinRange;PenetrationAtGroundRange;MinimalRange;Acceleration;PreventReloadWhileTracked;HighAltRange;IgnoreCover;TargetType;HealthAOERadius;DispersionHorizontalRadius;DispersionVerticalRadius;ResupplyTime;NonSeadProjectileRangeOverride;SeadProjectileRangeOverride;TopArmorAttack;RadioFuseDistance;SmokeRadius
;11;Round 125 2A46M AP T72B T72A T1;3000;1700;;;;;;;;;;;;;;;;;;;;;
;264;Round 125 2A46M AP T72BA T2;3000;;;;;;;;;;;;;;;;;;;;;;
;54;Round 125 2A46M HE T72B T72A T1;5000;850;;;;;;;;;;;;;;;;;;;;;
;265;Round 125 2A46M HE T72BA T2;5000;850;;;;;;;;;;;;;;;;;;;;;
;356;Round 125 HEAT T1;3000;905;;;;;;;;;;;;;;;;;;;;;
;532;Round 125 HEAT T2 T2.5;3000;915;;;;;;;;;;;;;;;;;;;;;
;72;Missile GLAT Invar;4000;;350;14;4000;22;;;;;;;;;;;;;;;;;
;125;Missile GLAT InvarM;5000;;350;18;5000;22;;;;;;;;;;;;;;;;;
;9;Bullet 7.62x54 MG Vehicles;1000;;;;;;;;;;;;;;;;;;;;;;
;70;Bullet 12.7x108RU;2000;;;;;;1000;;;;;;;;;;;;;;;;
;48;Round 125 2A82 AP T3;3000;2050;;;;;;;;;;;;;;;;;;;;;
;49;Round 125 2A82 HE T3;4700;;;;;;;;;;;;;;;;;;;;;;
;244;Round 125 HEAT T3;3000;;;;;;;;;;;;;;;;;;;;;;
;514;Missile GLAT Sprinter;8000;;350;25;8000;22;;950;950;;;;;;;;;;;;;;
;144;Missile GLAT SokolV;;;;;;22;;;;;;;;;;;;;;;;;
;124;Round 125 2A75 AP T2;3000;;;;;;;;;;;;;;;;;;;;;;
;126;Round 125 2A75 HE T2;5000;850;;;;;;;;;;;;;;;;;;;;;
;141;Round 125 AP T80BVM T2.5;3000;1660;;;;;;;;;;;;;;;;;;;;;
;142;Round 125 HE T80BVM T2.5;5000;850;;;;;;;;;;;;;;;;;;;;;
;239;Round 125 2A46M5 T90A T80UA AP T2.5;3000;1700;;;;;;;;;;;;;;;;;;;;;
;139;Round 125 AP T72B3 obr16 T2.5;3000;1660;;;;;;;;;;;;;;;;;;;;;
;140;Round 125 HE T72B3 obr16 T2.5;5000;850;;;;;;;;;;;;;;;;;;;;;
;246;Round 125 AP T80BV T2;3000;1700;;;;;;;;;;;;;;;;;;;;;
;247;Round 125 HE T80BV T2;5000;850;;;;;;;;;;;;;;;;;;;;;
;541;Round 125 HEAT T2 T80BV;3000;905;;;;;;;;;;;;;;;;;;;;;
;223;Round 76 D56TS HEAT T1;1000;;;;;;;;;;;;;;;;;;;;;;
;224;Round 76 D56TS HE T1;4000;;;;;;;;;;;;;;;;;;;;;;
;221;Round 57 AU220 AP T2.5;;1000;;;;;;;;;;;;;;;;;;;;;
;222;Round 57 AU220 HE T2.5;;1000;;;;;;;;;;;;;;;;;;;;;
;82;Round 30 2A42 T1 AP;1500;;;;;;;;;;;;;;;;;;;;;;
;204;Round 30 2A42 T1 HE;4000;;;;;;2500;;;;;;;;;;;;;;;;
;99;Grenade 30x29 AGS17/30;1700;;;;;5;;;;;;;;;;;;;;;;;
;238;Round 125 2A46M1 T90 AP T2;3000;1700;;;;;;;;;;;;;;;;;;;;;
;240;Round 125 2A46M1 T90 HE T2;5000;850;;;;;;;;;;;;;;;;;;;;;
;241;Round 125 2A46M5 T90A T80UA HE  T2.5;5000;;;;;;;;;;;;;;;;;;;;;;
;242;Round 125 2A46M501 T90M AP T3;3000;1650;;;;;;;;;;;;;;;;;;;;;
;243;Round 125 2A46M501 T90M HE T3;5000;;;;;;;;;;;;;;;;;;;;;;
;245;Missile GLAT InvarM1 T90M;5000;;350;18;5000;22;;;;;;;;;;;;;;;;;
;248;Round 125 AP T80U T2;3000;1700;;;;;;;;;;;;;;;;;;;;;
;249;Round 125 HE T80U T2;5000;850;;;;;;;;;;;;;;;;;;;;;
;250;Missile GLAT InvarM1;5000;;350;18;5000;22;;;;;;;;;;;;;;;;;
;209;Round 30 2A42 T3 AP;1500;;;;;;;;;;;;;;;;;;;;;;
;546;Round 30 2A42 T3 HE BMPT;4000;;;;;;2500;;;;;;;;;;;;;;;;
;123;Missile AT AtakaM;8000;;550;17;8000;24;;;;800;275;;;;;;;;;;;;
;701;Round 115 2A20 AP T1;3000;;;;;;;;;;;;;;;;;;;;;;
;713;Round 115 2A20 AP T2;3000;;;;;;;;;;;;;;;;;;;;;;
;8;Missile GLAT Arkan;4000;;300;16;4000;22;;;;;;True;;;;;;;;;;;
;197;Missile GLAT ArkanM;5500;;300;21;5500;22;;;;;;True;;;;;;;;;;;
;27;Bullet 7.62x51 MG ;1100;;;;;;;;;;;;;;;;;;;;;;
;714;Round 115 2A20 HEAT T1 ;3000;;;;;;;;;;;;;;;;;;;;;;
;715;Round 115 2A20 HEAT T2;3000;;;;;;;;;;;;;;;;;;;;;;
;716;Round 115 2A20 HE T1;3000;;;;;;;;;;;;;;;;;;;;;;
;717;Round 115 2A20 HE T2;3000;;;;;;;;;;;;;;;;;;;;;;
;725;Rocket 80 S8 Gadyuka;4000;700;;;;23;;;;;;;;;;;;;;;;;
;3;Round 30 2A72 T2 AP;2000;;;;;;;;;;;;;;;;;;;;;;
;177;Round 30 2A72 T2 HE;4000;;;;;;2500;;;;;;;;;;;;;;;;
;127;Missile AA IglaS;;;570;13;6000;;6000;;;500;285;;6000;;;;;;;;;;
;737;Rocket 93 RPOM Thermobaric Vehicle;800;;;;;35;;;;;;;;0.7;;;;;;;;;
;254;Round 120 M256 AP M1A2SEP2 T3;3000;;;;;;;;;;;;;;;;;;;;;;
;251;Round 120 M256 HEAT M1A2SEP2 T3;3000;;;;;;;;;;;;;;;;;;;;;;
;19;Bullet 12.7x99;1800;;;;;;;;;;;;;;;;;;;;;;
;23;Round 105 M68 AP T1;2000;1500;;;;;;;;;;;;;;;;;;;;;
;493;Round 165 M81E1 HESH T1;925;;;;;;;;;;;;;;;;;;;;;;
;24;Round 105 M68 HESH T1;4000;;;;;;;;;;;;;;;;;;;;;;
;257;Round 120 M256 AP M1A1HC T2;3000;;;;;;;;;;;;;;;;;;;;;;
;260;Round 120 M256 HEAT M1A1HC T2;3000;;;;;;;;;;;;;;;;;;;;;;
;258;Round 120 M256 AP M1A1FEP T3;3000;;;;;;;;;;;;;;;;;;;;;;
;168;Missile GLAT Shillelagh;3000;;320;12;3000;22;;;;;160;;;;;;;;;;;;
;12;Round 105 M68 XM35 AP T2;2000;1500;;;;;;;;;;;;;;;;;;;;;
;171;Round 105 M68 XM35 HESH T2;4000;;;;;;;;;;;;;;;;;;;;;;
;172;Round 120 XM291 AP T3;3000;1650;;;;;;;;;;;;;;;;;;;;;
;173;Round 120 XM291 HEAT T3;3000;1400;;;;;;;;;;;;;;;;;;;;;
;1;Round 120 M256 AP M1A2C T3;3000;;;;;;;;;;;;;;;;;;;;;;
;540;Round 120 M256 HE SEP3;5000;;;;;;;;;;;;;;;;;;;;;;
;2;Round 120 M256 HEAT M1A2C T3;3000;1400;;;;;;;;;;;;;;;;;;;;;
;255;Round 120 M256 AP M1A2SEP T3;3000;;;;;;;;;;;;;;;;;;;;;;
;252;Round 120 M256 HEAT M1A2SEP T3;3000;;;;;;;;;;;;;;;;;;;;;;
;256;Round 120 M256 AP M1A2 T2.5;3000;;;;;;;;;;;;;;;;;;;;;;
;253;Round 120 M256 HEAT M1A2 T2.5;3000;;;;;;;;;;;;;;;;;;;;;;
;505;Round 105 XM35 AP T3;2000;1500;;;;;;;;;;;;;;;;;;;;;
;504;Round 105 XM35 HESH T3;4000;;;;;;;;;;;;;;;;;;;;;;
;467;Obus Unkown MICLIC;150;;;;;;;;;50;;;;;;;;;;;;;
